name	indication	catagories	synonyms
Ginkgo biloba	Appears to be effective in: alleviating age-related memory impairment in some elderly people with mild to moderate age-related memory or cognitive impairment; improving cognitive function in healthy young to middle-aged people; improving symptoms of Alzheimer's, vascular or mixed dementia; improving damage to the visual field in patients with normal tension glaucoma; decreasing the number of painful attacks in patients with Raynaud's syndrome; and may improve symptoms of vertigo and dizziness in some patients. 		Adiantifolia ****spec****Bai Guo Ye****spec****Baiguo****spec****Fossil Tree****spec****Ginkgo Folium****spec****Herba Ginkgo Biloba****spec****Japanese Silver Apricot****spec****Kew Tree****spec****Maidenhair Tree****spec****Pei Go Su Ye****spec****Salisburia Adiantifolia****spec****Yen Xing****spec****Yinhsing****spec****
Glycodiazine	Glycodiazine is used concomitantly with insulin for the treatment of noninsulin-dependent (type 2) diabetes mellitus. 		Glidiazine****spec****Glymidine****spec****
Paramethasone	For the treatment of all conditions in which corticosteroid therapy is indicated except adrenal-deficiency states for which its lack of sodium-retaining properties makes it less suitable than hydrocortisone with supplementary fludrocortisone.		Dillar****spec****
Sodium bicarbonate	Sodium bicarbonate is used for the treatment of metabolic acidosis which may occur in severe renal disease, uncontrolled diabetes, circulatory insufficiency due to shock or severe dehydration, extracorporeal circulation of blood, cardiac arrest and severe primary lactic acidosis. Also is indicated in severe diarrhea which is often accompanied by a significant loss of bicarbonate. Further indicated in the treatment of certain drug intoxications, including barbiturates (where dissociation of the barbiturateprotein complex is desired), in poisoning by salicylates or methyl alcohol and in hemolytic reactions requiring alkalinization of the urine to diminish nephrotoxicity of blood pigments.		Baking soda****spec****Bicarbonate of soda****spec****Carbonic acid monosodium salt****spec****e 500****spec****e-500****spec****e500****spec****NaHCO3****spec****Natriumhydrogenkarbonat****spec****Sodium acid carbonate****spec****Sodium bicarbonate****spec****Sodium hydrogen carbonate****spec****Sodium hydrogencarbonate****spec****
Yohimbine	Indicated as a sympatholytic and mydriatic. Impotence has been successfully treated with yohimbine in male patients with vascular or diabetic origins and psychogenic origins.	Mydriatics****spec****Adrenergic alpha-2 Receptor Antagonists****spec****	(+)-yohimbine****spec****(16alpha,17alpha)-17-Hydroxyyohimban-16-carboxylic acid methyl ester****spec****17alpha-Hydroxyyohimban-16alpha-carboxylic acid methyl ester****spec****Aphrodine****spec****Corynine****spec****Johimbin****spec****Quebrachin****spec****Quebrachine****spec****Yohimbic acid methyl ester****spec****Yohimbin****spec****Yohimbine****spec****
Bezafibrate	For the treatment of primary hyperlipidaemia types IIa, IIb, III, IV and V (Fredrickson classification) corresponding to groups I, II and III of the European Atherosclerosis Society guidelines - when diet alone or improvements in lifestyle such as increased exercise or weight reduction do not lead to an adequate response. Also for the treatment of secondary hyperlipidaemias, e.g. severe hypertriglyceridemias, when sufficient improvement does not occur after correction of the underlying disorder (e.g. diabetes mellitus).	Hypolipidemic Agents****spec****	2-(P-(2-(P-Chlorobenzamido)ethyl)phenoxy)-2-methylpropionic acid****spec****Befizal****spec****Bezafibrat****spec****Bezafibrato****spec****Bezafibratum****spec****Bezalip****spec****Bezatol sr (tn)****spec****Cedur****spec****
Colchicine	For treatment and relief of pain in attacks of acute gouty arthritis.	Gout Suppressants****spec****Tubulin Modulators****spec****	Colchicin****spec****Colchicina****spec****Colchicinum****spec****
Drospirenone	For the prevention of pregnancy in women who elect an oral contraceptive.	Mineralocorticoid Receptor Antagonists****spec****	1,2-Dihydrospirorenone****spec****6beta,7Beta;15beta,16beta-dimethylene-3-oxo-17alpha-pregn-4-ene-21,17-carbolactone****spec****6β,7β,15β,16β-dimethylene-3-oxo-17α-pregn-4-ene-21,17 carbolactone****spec****Dehydrospirorenone****spec****Drospirenona****spec****Drospirenonum****spec****DRSP****spec****
Digitoxin	For the treatment and management of congestive cardiac insufficiency, arrhythmias and heart failure.	Cardiotonic Agents****spec****Enzyme Inhibitors****spec****Anti-Arrhythmia Agents****spec****	Crystodigin (tn)****spec****Digitoksin****spec****Digitoxin****spec****Digitoxinum****spec****Digitoxoside****spec****
Magnesium salicylate	Magnesium salicylate is a common analgesic and non-steroidal anti-inflammatory drug (NSAID) used to treat mild to moderate muscular pain		Magnesium salicylate anhydrous****spec****
Salicylate-sodium	It is used in medicine as an analgesic and antipyretic. Sodium salicylate also acts as non-steroidal anti-inflammatory drug (NSAID)	Salicylates****spec****Anti-Inflammatory Agents, Non-Steroidal****spec****	Salsonin****spec****
Salsalate	For relief of the signs and symptoms of rheumatoid arthritis, osteoarthritis and related rheumatic disorders.	Anti-Inflammatory Agents, Non-Steroidal****spec****	2-Carboxyphenyl salicylate****spec****Disalcid****spec****Disalicylic acid****spec****Disalicylsaeure****spec****O-Salicylcylsalicylsaeure****spec****O-Salicylsalicylic acid****spec****Salicylic acid bimolecular ester****spec****Salicyloxysalicylic acid****spec****Salicyloylsalicylic acid****spec****salicylsalicylic acid****spec****Salsalato****spec****Salsalatum****spec****Sasapyrin****spec****Sasapyrine****spec****Sasapyrinum****spec****
Neostigmine	Neostigmine is used for the symptomatic treatment of myasthenia gravis by improving muscle tone.		(m-Hydroxyphenyl)trimethylammonium dimethylcarbamate****spec****3-Trimethylammoniumphenyl N,N-dimethylcarbamate****spec****Eustigmin****spec****Eustigmine****spec****m-Trimethylammoniumphenyldimethylcarbamate****spec****
Trisalicylate-choline	Choline magnesium trisalicylate is used to reduce pain and inflammation caused by conditions such as arthritis. This medication is also used to treat fever in adults.		Tricosal****spec****
Methotrimeprazine	For the treatment of psychosis, particular those of schizophrenia, and manic phases of bipolar disorder.	Antipsychotic Agents****spec****Analgesics, Non-Narcotic****spec****Dopamine Antagonists****spec****	(-)-(2R)-3-(2-Methoxy-10H-phenothiazin-10-yl)-N,N,2-trimethylpropan-1-amine****spec****(-)-10-(3-(Dimethylamino)-2-methylpropyl)-2-methoxyphenothiazine****spec****2-Methoxytrimeprazine****spec****Levomepromazina****spec****Levomepromazine****spec****Levomepromazinum****spec****Methotrimeprazine****spec****
Ginseng			
Danazol	For the treatment of endometriosis and fibrocystic breast disease (in patients unresponsive to simple measures). Also used for the prophylactic treatment of all types of hereditary angioedema in males and females.		Cyclomen****spec****Danazolum****spec****Danocrine****spec****
Clenbuterol	Used as a bronchodilator in the treatment of asthma patients. 	Sympathomimetics****spec****Adrenergic beta-Agonists****spec****Bronchodilator Agents****spec****	(+-)-Clenbuterol****spec****(±)-clenbuterol****spec****1-(4-Amino-3,5-dichloro-phenyl)-2-tert-butylamino-ethanol****spec****4-amino-3,5-Dichloro-alpha-(((1,1-dimethylethyl)amino)methyl)benzenemethanol****spec****4-amino-alpha-((Tert-butylamino)methyl)-3,5-dichlorobenzyl alcohol****spec****4-amino-α-((tert-butylamino)methyl)-3,5-dichlorobenzyl alcohol****spec****CLENBUTEROL****spec****Clenbuterolum****spec****
Bambuterol	For the prevention and reversal of bronchospasm in patients 12 years of age and older with asthma and reversible bronchospasm associated with bronchitis and emphysema.		(+-)-5-(2-(Tert-butylamino)-1-hydroxyethyl)-m-phenylene bis(dimethylcarbamate)****spec****Bambuterol****spec****Bambuterolum****spec****Terbutaline bis(dimethylcarbamate)****spec****Terbutaline bisdimethylcarbamate****spec****
Tiotropium	Used in the management of chronic obstructive pulmonary disease (COPD).	Cholinergic Antagonists****spec****	
Ciclesonide	For the treatment of nasal symptoms associated with seasonal and perennial allergic rhinitis in adults and adolescents 12 years of age and older.		
Pranlukast	Used as an adjunct to the standard therapy of inhaled steroids with inhaled long- and/or short-acting beta-agonists. 	Anti-Asthmatic Agents****spec****Leukotriene Antagonists****spec****	ONO-RS 411****spec****
Theobromine	theobromine is used as a vasodilator, a diuretic, and heart stimulant. And similar to caffeine, it may be useful in management of fatigue and orthostatic hypotension.		3,7-dihydro-3,7-Dimethyl-1H-purine-2,6-dione****spec****3,7-Dimethylpurine-2,6-dione****spec****3,7-Dimethylxanthine****spec****Theobromin****spec****Theobromine****spec****
Cefepime	For the treatment of pneumonia (moderate to severe) caused by <i>Streptococcus pneumoniae</i>, including cases associated with concurrent bacteremia, <i>Pseudomonas aeruginosa</i>, <i>Klebsiella pneumoniae</i>, or <i>Enterobacter</i> species. Also for empiric treatment of febrile neutropenic patients and uncomplicated and complicated urinary tract infections (including pyelonephritis) caused by <i>Escherichia coli</i> or <i>Klebsiella pneumoniae</i>, when the infection is severe, or caused by <i>Escherichia coli</i>, <i>Klebsiella pneumoniae</i>, or <i>Proteus mirabilis</i>, when the infection is mild to moderate, including cases associated with concurrent bacteremia with these microorganisms. Also for the treatment of uncomplicated skin and skin structure infections caused by <i>Staphylococcus aureus</i> (methicillin-susceptible strains only) or <i>Streptococcus pyogenes</i> and complicated intra-abdominal infections (used in combination with metronidazole) caused by <i>Escherichia coli</i>, viridans group streptococci, <i>Pseudomonas aeruginosa</i>, <i>Klebsiella pneumoniae</i>, <i>Enterobacter</i> species, or <i>Bacteroides fragilis</i>.	Cephalosporins****spec****Anti-Bacterial Agents****spec****	(6R,7R)-7-{[(2Z)-2-(2-amino-1,3-thiazol-4-yl)-2-(methoxyimino)acetyl]amino}-3-[(1-methylpyrrolidinium-1-yl)methyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate****spec****Cefepima****spec****Cefepime****spec****Cefepimum****spec****
Cefacetrile	Cefacetrile is a broad-spectrum first generation cephalosporin antibiotic effective in Gram-positive and Gram-negative bacterial infections.	Cephalosporins****spec****Anti-Bacterial Agents****spec****	Cefacetrilo****spec****Cefacetrilum****spec****Cephacetrile****spec****Vetrimast [veterinary]****spec****
Ceftibuten	Used to treat acute bacterial exacerbations of chronic bronchitis (ABECB), acute bacterial otitis media, pharyngitis, and tonsilitis.	Cephalosporins****spec****	(+)-(6R,7R)-7-((Z)-2-(2-amino-4-Thiazolyl)-4-carboxycrotonamido)-8-oxo-5-thia-1-azabicyclo(4.2.0)oct-2-ene-2-carboxylic acid****spec****Ceftibutene****spec****Ceftibuteno****spec****Ceftibutenum****spec****cis-Ceftibuten****spec****
Cefpodoxime	For the treatment of patients with mild to moderate infections caused by susceptible strains of the designated microorganisms.	Cephalosporins****spec****Anti-Bacterial Agents****spec****	Cefpodoxima****spec****Cefpodoximum****spec****
Acenocoumarol	For the treatment and prevention of thromboembolic diseases. More specifically, it is indicated for the for the prevention of cerebral embolism, deep vein thrombosis, pulmonary embolism, thromboembolism in infarction and transient ischemic attacks. It is used for the treatment of deep vein thrombosis and myocardial infarction.	Anticoagulants****spec****	3-(alpha-(4'-Nitrophenyl)-beta-acetylethyl)-4-hydroxycoumarin****spec****3-(alpha-(P-Nitrophenol)-beta-acetylethyl)-4-hydroxycoumarin****spec****3-(alpha-Acetonyl-4-nitrobenzyl)-4-hydroxycoumarin****spec****3-(alpha-Acetonyl-P-nitrobenzyl)-4-hydroxycoumarin****spec****3-(alpha-P-Nitrophenyl-beta-acetylethyl)-4-hydroxycoumarin****spec****4-Hydroxy-3-(1-(4-nitrophenyl)-3-oxobutyl)-2H-1-benzopyran-2-one****spec****4-Hydroxy-3-[1-(4-nitrophenyl)-3-oxobutyl]-2H-chromen-2-one****spec****Acenocoumarin****spec****Acenocoumarolum****spec****Acenocumarol****spec****Acenocumarolo****spec****Acenokumarin****spec****Nicoumalone****spec****Nicumalon****spec****Nitrophenylacetylethyl-4-hydroxycoumarine****spec****Nitrovarfarian****spec****Nitrowarfarin****spec****
Antrafenine	Antrafenine is used as an anti-inflammatory and analgesic agent for the relief of mild to moderate pain.		Antrafenine****spec****
Testosterone Propionate	Testosterone propionate is an anabolic steroid and a short ester form of testosterone that becomes active in the body. It is often used for muscle mass building.		Testex****spec****
Paromomycin	For the treatment of acute and chronic intestinal amebiasis (it is not effective in extraintestinal amebiasis). Also for the management of hepatic coma as adjunctive therapy.	Anti-Bacterial Agents****spec****Amebicides****spec****	(1R,2R,3S,4R,6S)-4,6-Diamino-2-{[3-O-(2,6-diamino-2,6-dideoxy-beta-L-idopyranosyl)-beta-D-ribofuranosyl]oxy}-3-hydroxycyclohexyl 2-amino-2-deoxy-alpha-D-glucopyranoside****spec****Aminosidin****spec****Aminosidine****spec****Catenulin****spec****Crestomycin****spec****Estomycin****spec****Hydroxymycin****spec****Monomycin a****spec****Neomycin e****spec****Paromomicina****spec****PAROMOMYCIN****spec****Paromomycin i****spec****Paromomycine****spec****Paromomycinum****spec****Paucimycin****spec****Paucimycinum****spec****R 400****spec****R-400****spec****Zygomycin a1****spec****
Nitroxoline	Nitroxoline is an antibiotic agent.	Anti-Infective Agents, Urinary****spec****Antifungal Agents****spec****	5-Nitro-8-hydroxyquinoline****spec****5-Nitro-8-oxyquinoline****spec****5-Nitro-8-quinolinol****spec****5-Nitrox****spec****5-NOK****spec****5NOK****spec****8-Hydroxy-5-nitroquinoline****spec****Nitroxolina****spec****Nitroxolinum****spec****
Stepronin	Strepronin is a mucolytic (expectorant) drug.	Antiviral Agents****spec****Immunosuppressive Agents****spec****Expectorants****spec****	Stepronin****spec****Stepronine****spec****Stepronino****spec****Steproninum****spec****Tiofacic****spec****
Aminophenazone	Formerly widely used as an antipyretic and analgesic in rheumatism, neuritis, and common colds. Currently used to measure total body water.	Pyrazolones****spec****	(Dimethylamino)phenazone****spec****1-Phenyl-2,3-dimethyl-4-(dimethylamino)-5-pyrazolone****spec****1-Phenyl-2,3-dimethyl-4-dimethylaminopyrazol-5-one****spec****1,5-Dimethyl-4-dimethylamino-2-phenyl-3-pyrazolone****spec****2,3-Dimethyl-4-dimethylamino-1-phenyl-5-pyrazolone****spec****3-Keto-1,5-dimethyl-4-dimethylamino-2-phenyl-2,3-dihydropyrazole****spec****4-(Dimethylamino)-1,2-dihydro-1,5-dimethyl-2-phenyl-3H-pyrazol-3-one****spec****4-(Dimethylamino)-1,5-dimethyl-2-phenyl-1,2-dihydro-3H-pyrazol-3-one****spec****4-(Dimethylamino)antipyrine****spec****4-Dimethylamino-1-phenyl-2,3-dimethylpyrazolone****spec****4-Dimethylamino-2,3-dimethyl-1-phenyl-3-pyrazolin-5-one****spec****4-Dimethylamino-2,3-dimethyl-1-phenyl-5-pyrazolone****spec****4-Dimethylaminoantipyrine****spec****4-Dimethylaminophenazone****spec****Aminofenazona****spec****Aminofenazone****spec****Aminophenazon****spec****Aminophenazonum****spec****Aminopyrine****spec****Dimethylaminoantipyrine****spec****Dimethylaminoazophene****spec****Dimethylaminophenazon****spec****Dimethylaminophenazone****spec****Dimethylaminophenyldimethylpyrazolone****spec****Dipyrine****spec****
Alizapride	Alizapride is used in the treatment of nausea and vomiting, including postoperative nausea and vomiting. 	Prokinetic Agents****spec****Antiemetics****spec****	Alizaprida****spec****Alizapridum****spec****Plitican****spec****
Ajmaline	For use as an antiarrhythmic agent.	Anti-Arrhythmia Agents****spec****	(+)-Ajmaline****spec****(5AR,6S,8S,10S,11S,11as,12ar,13R)-5-methyl-5a,6,8,9,10,11,11a,12-octahydro-5H-6,10:11,12a-dimethanoindolo[3,2-b]quinolizine-8,13-diol****spec****Ajmalin****spec****
Amrinone	Used in the treatment of congestive heart failure.	Cardiotonic Agents****spec****Phosphodiesterase 3 Inhibitors****spec****Vasodilator Agents****spec****Calcium Channel Blockers****spec****	Amcoral****spec****Amrinona****spec****Amrinonum****spec****Inamrinone****spec****
Oxybenzone	Used as an ingredient in sunscreen and other cosmetics.	Sunscreening Agents****spec****	(2-Hydroxy-4-methoxyphenyl)phenylmethanone****spec****2-Benzoyl-5-methoxyphenol****spec****2-Hydroxy-4-methoxybenzophenone****spec****4-Methoxy-2-hydroxybenzophenone****spec****4-Methoxy-2-hydroxybenzophenone butyric acid****spec****Benzophenone-3****spec****Oxibenzona****spec****Oxybenzonum****spec****
Aprindine		Anti-Arrhythmia Agents****spec****Voltage-Gated Sodium Channel Blockers****spec****	Aprindina****spec****Aprindine****spec****Aprindinum****spec****Compound 99170****spec****
Almitrine	For the treatment of chronic obstructive pulmonary disease.	Respiratory System Agents****spec****	2,4-Bis(allylamino)-6-(4-(bis(P-fluorophenyl)methyl)-1-piperazinyl)-S-triazine****spec****Almitrina****spec****Almitrinum****spec****
Allylestrenol	Allylestrenol was designed to be used for miscarriage prevention, prevention of premature labour and has been investigated for possible use in men for treatment for benign prostatic hyperplasia.		Allyl estrenol****spec****Allyloestrenol****spec****Perselin****spec****
Cholestyramine	Indicated as adjunctive therapy to diet for the reduction of elevated serum cholesterol in patients with primary hypercholesterolemia (elevated low density lipoprotein [LDL] cholesterol) who do not respond adequately to diet. Also for the relief of pruritus associated with partial biliary obstruction.	Cholesterol Absorption Inhibitors****spec****Hypolipidemic Agents****spec****	Cholestyramine resin****spec****Colestyramine****spec****
Methadyl Acetate	Used mainly in the treatment of narcotic dependence.	Narcotics****spec****Analgesics, Opioid****spec****	Acetilmetadol****spec****Acetylmethadol****spec****Acetylmethadolum****spec****Betamethadol****spec****
Antipyrine	Antipyrine is an analgesic often used to test effects of other drugs on liver enzymes..	Anti-Inflammatory Agents, Non-Steroidal****spec****	1,2-Dihydro-1,5-dimethyl-2-phenyl-3H-pyrazol-3-one****spec****2,3-Dimethyl-1-phenyl-5-pyrazolone****spec****Analgesine****spec****Antipyrine****spec****Fenazon****spec****Fenazona****spec****Phenazon****spec****Phenazone****spec****
Alfacalcidol	Alfacalcidol is an active metabolite of Vitamin D, which performs important functions in regulation of the calcium balance and the bone metabolism.	Bone Density Conservation Agents****spec****	(5Z,7e)-9,10-Seco-5,7,10(19)-cholestatrien-1alpha,3beta-diol****spec****1-hydroxycholecalciferol****spec****1alpha-Hydroxy-vitamin D3****spec****1alpha-hydroxycholecalciferol****spec****1alpha-hydroxyvitamin D3****spec****9,10-Secocholesta-5,7,10(19)-triene-1alpha,3beta-diol****spec****Alfacalcidolum****spec****Alsiodol****spec****
Glutethimide	For the treatment of insomnia.	Hypnotics and Sedatives****spec****	2-Ethyl-2-phenylglutarimide****spec****Doriden****spec****
Phenazopyridine	For the symptomatic relief of pain, burning, urgency, frequency, and other discomforts arising from irritation of the lower urinary tract mucosa caused by infection, trauma, surgery, endoscopic procedures, or the passage of sounds or catheters.		3-(Phenylazo)-2,6-pyridinediamine****spec****Fenazopiridina****spec****
Gamma Hydroxybutyric Acid	Used as a general anesthetic, to treat conditions such as insomnia, clinical depression, narcolepsy, and alcoholism, and to improve athletic performance. 		3-carboxypropoxy acid****spec****4-hydroxy-butyric acid****spec****4-hydroxybutanoate****spec****4-hydroxybutanoic acid****spec****4-Hydroxybutyric acid****spec****gamma-Hydroxybutyrate****spec****gamma-Hydroxybutyric acid****spec****GHB****spec****oxy-n-butyric acid****spec****γ-Hydroxybutyric acid****spec****
Heroin	Used in the treatment of acute pain, myocardial infarction, acute pulmonary oedema, and chronic pain.	Narcotics****spec****Analgesics, Opioid****spec****	(5alpha,6alpha)-7,8-Didehydro-4,5-epoxy-17-methylmorphinan-3,6-diol diacetate (ester)****spec****3,6-Diacetylmorphine****spec****7,8-Dihydro-4,5-alpha-epoxy-17-methylmorphinan-3,6-alpha-diol diacetate****spec****diacetylmorphine****spec****diamorphine****spec****Heroin****spec****morphine diacetate****spec****O,O'-diacetylmorphine****spec****
Fencamfamine	For the the treatment of depressive fatigue in convalescence and other debilitated states as well as in the treatment of depressive day-time fatigue, lack of concentration and lethargy.	Antipsychotic Agents****spec****Central Nervous System Stimulants****spec****	Fencamfamin****spec****Fencamfamine****spec****Fencamfaminum****spec****Fencanfamina****spec****
Ethylmorphine	Ethylmorphine is an analgesic used for pain relief.	Narcotics****spec****Antitussive Agents****spec****Analgesics, Opioid****spec****	Dionine****spec****Ethyl morphine****spec****Ethylmorphine****spec****
Fenethylline			Fenethylline****spec****Fenethylline hcl****spec****Fenetylline****spec****
Camazepam	Camazepam has been used in placebo controlled studies for the treatment of patients suffering from anxiety and depression. 	Benzodiazepines****spec****Hypnotics and Sedatives****spec****Neuromuscular Agents****spec****	Camazepam****spec****CMZ****spec****CZ****spec****
Difenoxin	Motofen(R) is a combination of atropine, an anticholinergic drug, and difenoxin, an antidiarrheal drug. It has been used in many countries for many years as a second line opioid-agonist antidiarrheal, which exists an intermediate between loperamide and paragoric. [2]  Diarrhea which is a result of cyclic or diarrhea predominant Inflammatory Bowel Syndrome may not be treated effectively with difenoxin, diphenoxylate, or loperamide. As such, diarrhea and cramping which does not respond to non-centrally acting derivatives or belladonna derivatives such as atropine are often treated with conservative doses of codeine. In patients with acute ulcerative colitis, as induction of toxic megacolon is possible, and thus use of Motofen(R) is cautioned.    Motofen(R) has been assigned pregnancy category C by the FDA, and is to be used only when the potential benefits outweigh the potential risk to the fetus. The safety of use during lactation is unknown and thus not recommended. 		1-(3-Cyano-3,3-diphenylpropyl)-4-phenylisonipecotic acid****spec****Difenoxin****spec****Difenoxina****spec****Difenoxinum****spec****Diphenoxilic acid****spec****Diphenoxin ****spec****Diphenoxylic acid****spec****
Delorazepam	Mainly used as an anti-anxiety agent. Studies have found delorazepam to be more effective in the first 4 weeks of use than antidepressants; however, after 4 weeks, antidepressants showed superior anti-anxiety effects. [Wikipedia] Anti-anxiety effects also appear to be weaker in elderly patients. [1]  Effectiveness has also been observed in the treatment of alcohol withdrawal. Delorazapam was reported to be a manageable drug in that it did not exhibit severe side effects and did not require further therapies to control symptoms of withdrawal. [3]	Anticonvulsants****spec****	CDDZ****spec****Chlordesmethyldiazepam****spec****Dadumir****spec****
Flunitrazepam	For short-term treatment of severe insomnias, that are not responsive to other hypnotics.	Benzodiazepines****spec****Anti-Anxiety Agents****spec****GABA Modulators****spec****	Flunitrazepamum****spec****Rohypnol****spec****
Ethyl loflazepate			Meilax****spec****
Fenproporex	Fenproporex is used as an appetite suppressant, and anti-obesity agent [2]; however, due to substance abuse potential, it is an illicit substance in many countries. In some countries, such as Brazil, it is still prescribed -- often in the form of diet pills (ie. Brazilian Diet Pills) which combine amphetamines, benzodiazepines, antidepressants, diuretics and laxatives.   In the United States the sale of such diet pills has been banned due to concerns over side effects, and the risk of potentially fatal overdose. However, internet sales and illicit markets has lead to international availability. It has been found by primary care physicians that Brazilian immigrant women utilized imported diet pills at particularly high rates, and sometimes suffered from side effects requiring hospitalization or experienced a loss of employment. [3]	Appetite Depressants****spec****Stimulants****spec****	Fenorex****spec****Perphoxene****spec****
Dihydrocodeine	Dihydrocodeine is used for the treatment of moderate to severe pain, including post-operative and dental pain [2]. It  can also be used to treat chronic pain [1], breathlessness and coughing.   In heroin addicts, dihydrocodeine has been used as a substitute drug, in doses up to 2500mg/day to treat addiction. [http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2014322/]  	Analgesics, Opioid****spec****	DHC****spec****Remedacen****spec****
Cloxazolam	Used primarily as an anti-anxiety agent. Typically used short term, and may be given as a single dose of up to 100mcg/kg to reduce anxiety and tension experienced prior to surgery. 	Benzodiazepines****spec****Hypnotics and Sedatives****spec****Neuromuscular Agents****spec****	Cloxazolazepam ****spec****
Bromazepam	For the short-term treatment of insomnia, short-term treatment of anxiety or panic attacks, if a benzodiazepine is required, and the alleviation of the symptoms of alcohol- and opiate-withdrawal.	Benzodiazepines****spec****Anti-Anxiety Agents****spec****GABA Modulators****spec****	Bromazepamum****spec****Lectopam****spec****
Clotiazepam	For the treatment of anxiety disorders.	Benzodiazepines****spec****	Clotiazepamum****spec****Rize****spec****
Chloral hydrate	Mainly used as a hyponotic in the treatment of insomnia; however, it is only effective as a hypnotic for short-term use. May be used as a routine sedative preoperatively to decrease anxiety and cause sedation and/or sleep with respiration depression or cough reflex. 		
Fludiazepam	Used for the short-term treatment of anxiety disorders.	Benzodiazepines****spec****	7-chloro-5-(O-Fluorophenyl)-1,3-dihydro-1-methyl-2H-1,4-benzodiazepin-2-one****spec****Erispan****spec****Fludiazepamum****spec****
Attapulgite	When used in medicine, it physically binds to acids and toxic substances in the stomach and digestive tract. For that reason, it has often been used in antidiarrheal medications. Attapulgite is an adsorbent. 		
Kaolin	Used for upset stomach and diarrhea, a traditional medicine used in China, South America and Africa. Kaolin is also used to treat AIDs-related diarrhea. Kaolin based bandages are also under investigation. 		
Dextroamphetamine	Used to treat attention deficit hyperactivity disorder (ADHD).	Central Nervous System Stimulants****spec****Dopamine Uptake Inhibitors****spec****	(+)-(S)-amphetamine****spec****(+)-alpha-Methylphenethylamine****spec****(+)-alpha-Methylphenylethylamine****spec****(+)-Amphetamine****spec****(AlphaS)-alpha-methylbenzeneethanamine****spec****(S)-(+)-Amphetamine****spec****(S)-(+)-beta-Phenylisopropylamine****spec****(S)-1-Phenyl-2-aminopropane****spec****(S)-1-Phenyl-2-propylamine****spec****(S)-alpha-Methylbenzeneethanamine****spec****(S)-amphetamine****spec****d-amphetamine****spec****Dexamfetamine****spec****dexamphetamine****spec****Dextroamphetamine****spec****
Methamphetamine	For the treatment of Attention Deficit Disorder with Hyperactivity (ADHD) and exogenous obesity.	Sympathomimetics****spec****Central Nervous System Stimulants****spec****Adrenergic Agents****spec****Dopamine Uptake Inhibitors****spec****Dopamine Agents****spec****Adrenergic Uptake Inhibitors****spec****	(+)-(S)-N-alpha-Dimethylphenethylamine****spec****(+)-(S)-N-α-dimethylphenethylamine****spec****(AlphaS)-N,alpha-dimethylbenzeneethanamine****spec****(S)-N,alpha-Dimethylbenzeneethanamine****spec****(S)-N,α-dimethylbenzeneethanamine****spec****(αS)-N,α-dimethylbenzeneethanamine****spec****d-1-phenyl-2-methylaminopropane****spec****d-deoxyephedrine****spec****d-desoxyephedrine****spec****d-N-methylamphetamine****spec****d-phenylisopropylmethylamine****spec****Dextromethamphetamine****spec****Métamfétamine****spec****Metamfetamine****spec****Metamfetaminum****spec****Metanfetamina****spec****Methamphetamine****spec****Methamphetaminum****spec****Methyl-beta-phenylisopropylamine****spec****methyl-β-phenylisopropylamine****spec****
Metrizamide	Metrizamide is used for lumbar, thoracic, cervical, and total columnar myelography to determine the presence of abnormalities in the spinal column, spinal canal, and central nervous system (CNS) as well as for cisternography by direct injection using standard radiologic techniques to visualize the basal cistern of the brain. For computerized tomography (CT) of the intracranial subarachnoid spaces and for ventriculography by direct injection using standard radiologic techniques to visualize the cerebral ventricles. Also used in pediatric angiocardiography to visualize lesions or malformations of the heart and obstructions or anomalies of the major thoracic vessels. Also used in adult peripheral arteriography to visualize specific regions of the vascular system and blood flow in such areas to help in the diagnosis and evaluation of neoplasms (known or suspected) or vascular diseases (congenital or acquired) that may cause changes in normal vascular anatomy or physiology. Metrizamide is also indicated in adults for intravenous digital arteriography of head and neck.		Amipaque****spec****
Phendimetrazine	Used in the management of exogenous obesity as a short term adjunct (a few weeks) in a regimen of weight reduction based on caloric restriction.	Appetite Depressants****spec****Central Nervous System Stimulants****spec****	Phendimetrazine****spec****
Oxprenolol	Used in the treatment of hypertension, angina pectoris, arrhythmias, and anxiety.	Anti-Anxiety Agents****spec****Antihypertensive Agents****spec****Adrenergic beta-Antagonists****spec****Sympatholytics****spec****Anti-Arrhythmia Agents****spec****Vasodilator Agents****spec****	Oxprenolol****spec****Oxprenololum****spec****
Sulfamerazine	A sulfanilamide that is used as an antibacterial agent. It can be used to treat bronchitis, prostatitis and urinary tract infections.	Sulfonamides****spec****	(P-Aminobenzolsulfonyl)-2-amino-4-methylpyrimidin****spec****2-(4-Aminobenzenesulfonamido)-4-methylpyrimidine****spec****2-(P-Aminobenzolsulfonamido)-4-methylpyrimidine****spec****2-(Sulfanilamido)-4-methylpyrimidine****spec****2-Sulfa-4-methylpyrimidine****spec****4-Amino-N-(4-methyl-2-pyrimidinyl)-benzenesulfonamide****spec****N-(4-Methyl-2-pyrimidyl)sulfanilamide****spec****N(1)-(4-Methyl-2-pyrimidinyl)sulfanilamide****spec****Sulfamerazina****spec****Sulfamerazinum****spec****Sulfamethyldiazine****spec****Sulphamerazine****spec****
